z_id,z_lat_d,z_long_d,z_land,z_water,z_pop,z_households,z_comm,z_med_inc,z_house_unit,z_comm_miles,z_comm_miles_ph,z_carb_ton_ph,z_pov,z_per_comm
46514,41.722642,-85.976908,38.507,1.675,40263,15722,10065,46878,17673,1.51094197894E8,15010.724277276904,6.233659189353265,10.2,82.6
46619,41.660941,-86.35375,22.805,0.241,21408,7428,5352,35995,8352,5.62934245385E7,10518.203389106877,4.368003435466955,20.4,80.9
46731,40.793538,-85.099634,15.909,0.029,559,216,139,51210,226,2466439.1040000003,17648.93813237925,7.329257625348338,11.5,76.8
47304,40.236332,-85.459814,35.017,0.119,30516,12888,7629,46731,14240,1.94784797954E8,25532.15335614104,10.60300219046848,5.9,82.9
47339,39.938777,-85.079129,13.26,0.01,669,259,167,37232,266,5119268.4625,30608.48109118087,12.711101469968431,5.0,98.0
47838,38.961773,-87.383679,105.433,0.586,4081,687,1020,51359,877,2.30766075E7,22618.581230090665,9.393052868776438,14.0,86.3
49344,42.589905,-85.591301,32.286,2.075,3410,1423,852,55349,1898,1.40306450905E7,16458.234710263932,6.834781863089514,2.4,91.9
50122,42.305362,-93.311807,84.385,0.025,1373,574,343,57368,623,1.0293172894E7,29987.3937188638,12.453176073810404,1.6,81.2
50132,42.391673,-93.69153,28.807,0.0,367,155,91,43750,174,1709942.3705,18636.974065395094,7.739569556970385,5.5,71.6
50604,42.601831,-92.896477,71.208,0.036,1850,730,462,55333,841,8736220.416,18889.125223783783,7.844282984288155,9.1,81.2
51111,42.4185,-96.393103,6.682,0.265,94,72,23,53478,56,89958.083,3828.0035319148938,1.589694737762975,0.0,100.0
52220,41.728234,-91.998369,0.461,0.0,237,177,59,46758,94,1004745.7154999999,16957.733594936708,7.042213946644979,0.0,62.3
54113,44.264256,-88.306749,1.733,0.175,3325,1352,831,61034,1263,8815762.1375,10605.428135338345,4.4042261606893405,0.0,93.2
55017,45.672309,-93.436364,30.17,0.486,714,290,178,51389,293,4088479.508,22904.647103641455,9.511850411685124,6.4,80.3
55947,43.822952,-91.365543,73.048,6.796,7513,3159,1878,58617,3217,1.3415085474000001E7,7142.332210302144,2.9660703903250076,8.0,82.8
