STATE,PRIVATEAUTO,PUBLICAUTO,TOTALAUTO,PRIVATEBUS,PUBLICBUS,TOTALBUS,PRIVATETRUCK,PUBLICTRUCK,TOTALTRUCK,PRIVATEMCYCLE,PUBLICMCYCLE,TOTALMCYCLE,PRIVATEALL,PUBLICALL,TOTALALL
South Dakota ,"325,944","5,976","331,920",232,"2,460","2,692","577,916","15,935","593,851","86,197",513,"86,710","990,289","24,884","1,015,173"
Tennessee ,"2,248,204","36,122","2,284,326","2,104","23,706","25,810","2,894,820","83,157","2,977,977","163,820",-,"163,820","5,308,948","142,985","5,451,933"
Texas ,"7,810,175","144,731","7,954,906","18,347","81,135","99,482","11,392,993","279,898","11,672,891","439,885","3,971","443,856","19,661,400","509,735","20,171,135"
Utah,"868,993","7,043","876,036","3,567","1,924","5,491","1,104,628","9,387","1,114,015","64,911",59,"64,970","2,042,099","18,413","2,060,512"
Vermont,"255,523","3,278","258,801","1,271",846,"2,117","318,385","3,709","322,094","28,777",-,"28,777","603,956","7,833","611,789"
Virginia,"3,225,620","70,745","3,296,365","7,333","24,306","31,639","3,495,431","37,892","3,533,323","189,053",636,"189,689","6,917,437","133,579","7,051,016"
Washington,"2,772,204","28,051","2,800,255","12,332","9,460","21,792","3,308,178","35,542","3,343,720","227,072",1,"227,073","6,319,786","73,054","6,392,840"
West Virginia,"515,816","26,084","541,900",940,"3,586","4,526","838,960","9,988","848,948","56,660","1,361","58,021","1,412,376","41,019","1,453,395"
Wisconsin ,"2,239,717","16,812","2,256,529",779,"14,528","15,307","2,679,455","64,090","2,743,545","322,986",392,"323,378","5,242,937","95,822","5,338,759"
Wyoming ,"226,602","2,129","228,731","1,042",152,"1,194","567,085","2,132","569,217","31,392",5,"31,397","826,121","4,418","830,539"
