zid,z_id,z_pop,z_house_unit,z_land,z_water,z_lat_d,z_long_d,z_lat_r,z_long_r
z19475,19475,11283,4496,16.547,0.333,40.172197,-75.6,0.7011371054097885,-1.319468914507713
z19477,19477,146,17,0.051,0.0,40.183315,-75.231457,0.7013311511160253,-1.3130366257225359
z19492,19492,717,369,1.174,0.0,40.28546,-75.491912,0.7031139176804748,-1.3175824230258175
z19501,19501,1047,440,1.009,0.004,40.244212,-76.066211,0.7023940042706122,-1.3276058314667283
z19503,19503,1142,485,1.496,0.004,40.406369,-75.571502,0.7052241778257686,-1.3189715305774796
z19504,19504,4998,1912,22.525,0.048,40.416219,-75.588554,0.70539609275709,-1.3192691441215298
z19505,19505,3226,1331,8.857,0.022,40.379238,-75.622653,0.7047506525464101,-1.3198642839431673
z19506,19506,7356,2893,67.929,1.241,40.452953,-76.127974,0.7060372220045177,-1.3286837991726377
z19507,19507,3280,1285,37.685,0.108,40.504847,-76.27118,0.7069429431665476,-1.3311832153812486
z19508,19508,15725,6236,38.03,0.739,40.263155,-75.83393,0.7027246219908174,-1.3235517632269034
z19510,19510,7639,2733,5.59,0.015,40.447528,-75.877656,0.705942537892597,-1.3243149258956306
z19511,19511,215,92,0.314,0.002,40.48422,-75.742724,0.7065829341017387,-1.3219599182293296
z19512,19512,16954,7260,43.335,0.165,40.348327,-75.680555,0.704211153821326,-1.320874864486657
z19518,19518,14734,5500,36.145,0.488,40.270211,-75.752511,0.7028477724228382,-1.3221307336032222
z19519,19519,101,43,0.116,0.005,40.320657,-75.735108,0.7037282212172992,-1.3218269939534975
z19520,19520,5465,2299,37.33,0.479,40.16351,-75.793465,0.7009854886576677,-1.3228455157450838
z19522,19522,14229,5686,44.937,1.278,40.447368,-75.820496,0.7059397453657937,-1.3233172956951906
z19523,19523,250,103,1.418,0.02,40.201036,-75.850448,0.7016404409127711,-1.323840056712748
z19525,19525,14107,4943,16.928,0.003,40.305649,-75.585013,0.70346628220316,-1.3192073420127168
z19526,19526,11039,4835,57.757,0.496,40.54724,-75.996509,0.7076828405963457,-1.3263893020715034
z19529,19529,3131,1289,58.062,0.212,40.631309,-75.864614,0.7091501214452047,-1.3240873000545854
z19530,19530,16432,5235,55.822,0.134,40.53907,-75.781445,0.7075402471964577,-1.3226357271689944
z19533,19533,7686,2483,17.915,0.247,40.425103,-75.992623,0.7055511478078372,-1.3263214785767707
z19534,19534,2041,905,20.106,0.122,40.573419,-75.874898,0.7081397503412252,-1.3242667897148606
z19535,19535,23,10,0.046,0.003,40.339979,-75.804035,0.7040654537353696,-1.3230299970470198
z19536,19536,490,226,0.386,0.0,40.480578,-75.758948,0.7065193692103812,-1.3222430804471732
z19538,19538,64,30,0.482,0.001,40.547528,-75.702562,0.7076878671445913,-1.3212589590951436
z19539,19539,4597,1859,22.12,0.062,40.496322,-75.68354,0.7067941538478151,-1.3209269625648292
z19540,19540,11723,4605,34.021,0.134,40.236271,-75.966664,0.7022554076747113,-1.3258684085562453
z19541,19541,4403,1670,22.377,0.141,40.486032,-76.030287,0.706614559467785,-1.326978839386242
z19542,19542,67,30,0.046,0.0,40.261203,-75.767196,0.7026905531638186,-1.3223870352038776
z19543,19543,5905,2100,22.156,0.306,40.177062,-75.901026,0.701222015677898,-1.3247228093418215
z19544,19544,196,92,0.167,0.001,40.416876,-76.296566,0.7054075595702758,-1.3316262846651599
z19545,19545,428,186,0.446,0.0,40.341513,-75.624078,0.7040922270860952,-1.3198891548850082
z19547,19547,4222,1758,28.578,0.215,40.380048,-75.768603,0.7047647897133513,-1.3224115919864532
z19549,19549,326,135,1.393,0.011,40.584518,-76.020034,0.7083334644349041,-1.326799890778035
z19550,19550,641,178,1.615,0.004,40.454939,-76.249432,0.7060718842434623,-1.3308036411755249
z19551,19551,5034,1998,24.87,0.311,40.361,-76.1374,0.7044323393974312,-1.3288483139079306
z19554,19554,374,158,0.453,0.0,40.512925,-76.103746,0.7070839308635237,-1.3282609408014645
z19555,19555,3406,1498,13.637,0.653,40.494382,-75.953919,0.7067602944603265,-1.3256459663430789
z19559,19559,362,157,0.283,0.0,40.495223,-76.182401,0.7067749726793358,-1.3296337295246206
z19560,19560,7805,3254,8.127,0.058,40.406182,-75.893801,0.7052209140600674,-1.3245967093033648
z19562,19562,2622,1208,1.016,0.001,40.505379,-75.702653,0.7069522283181682,-1.3212605473447627
z19564,19564,90,52,0.206,0.0,40.518731,-75.87831,0.7071852646798945,-1.3243263403489385
z19565,19565,8531,3497,19.094,0.43,40.342381,-76.08788,0.7041073765440026,-1.327984026862343
z19567,19567,5388,2230,22.574,0.06,40.388389,-76.209785,0.70491036762626,-1.3301116704869866
z19601,19601,32998,13282,3.711,0.205,40.355294,-75.940014,0.7043327509103126,-1.3254032783105891
z19602,19602,17900,8060,2.471,0.068,40.32874,-75.914976,0.703869296180738,-1.3249662827724746
z19604,19604,27658,9295,2.196,0.0,40.356825,-75.910242,0.7043594719011607,-1.3248836588856854
z19605,19605,18985,7949,16.749,0.457,40.39791,-75.943197,0.7050765404243425,-1.3254588321406802
z19606,19606,34416,14034,27.499,0.274,40.338614,-75.858157,0.7040416299910799,-1.3239746041447842
z19607,19607,22544,10383,11.189,0.061,40.291483,-75.944791,0.7032190388613224,-1.3254866526889568
z19608,19608,22719,8484,25.682,0.266,40.310798,-76.034772,0.7035561492063451,-1.327057117403194
z19609,19609,9946,4293,2.524,0.001,40.328313,-75.997285,0.703861843624832,-1.326402845826499
z19610,19610,15258,6917,7.019,0.048,40.341402,-75.974839,0.7040902897706255,-1.3260110892225963
z19611,19611,10589,4130,2.024,0.034,40.324708,-75.942981,0.7037989245052976,-1.3254550622294958
z19701,19701,39194,14873,26.611,0.794,39.583153,-75.700909,0.6908563481706711,-1.321230108802608
z19702,19702,51899,20138,28.311,0.246,39.6182,-75.729724,0.6914680337136174,-1.3217330254265702
z19703,19703,14471,6511,3.924,1.106,39.801513,-75.453853,0.6946674491253257,-1.3169181681658009
z19706,19706,1822,759,3.685,0.688,39.573236,-75.596104,0.6906832638687508,-1.3194009164800553
z19707,19707,16483,6066,13.201,0.018,39.785685,-75.68364,0.6943911984113201,-1.3209287078940812
z19709,19709,35107,12065,79.628,6.065,39.494582,-75.675004,0.6893104925988872,-1.320777981259879
z19710,19710,41,15,0.112,0.0,39.795167,-75.588092,0.6945566905309942,-1.3192610807003857
z19711,19711,51322,20429,27.383,0.002,39.713598,-75.741073,0.693133042913435,-1.3219311028433791
z19713,19713,30408,12622,13.689,0.0,39.670784,-75.712298,0.6923857976474861,-1.321428884351118
z19716,19716,1568,2,0.053,0.0,39.68956,-75.758391,0.6927135006678407,-1.3222333589632393
z19717,19717,3770,3,0.186,0.0,39.678464,-75.752273,0.6925198389340393,-1.3221265797196025
z19720,19720,59250,22765,37.103,3.891,39.646922,-75.604852,0.6919693271813754,-1.3195535978830197
z19730,19730,451,188,1.368,0.064,39.463828,-75.646933,0.6887737340407288,-1.3202880498855518
z19731,19731,252,114,0.958,0.093,39.523585,-75.587574,0.689816690441843,-1.3192520398948604
z19732,19732,25,9,0.632,0.0,39.783897,-75.570042,0.6943599919242945,-1.3189460487704006
z19733,19733,110,50,0.041,0.0,39.555826,-75.651088,0.6903794020459786,-1.320360568315972
z19734,19734,11651,4079,78.184,3.93,39.381644,-75.653322,0.6873393526482697,-1.3203995589714614
z19735,19735,12,8,0.194,0.0,39.803172,-75.599718,0.6946964041376165,-1.3194639926792224
z19736,19736,32,14,0.133,0.006,39.804939,-75.674753,0.6947272441054991,-1.3207736004834563
z19801,19801,16286,7590,4.14,1.043,39.727781,-75.540718,0.6933805829612454,-1.3184342484205458
z19802,19802,24621,11195,3.172,0.038,39.756764,-75.529302,0.6938864317383509,-1.3182350016331381
z19803,19803,21364,9046,12.6,0.01,39.800665,-75.542415,0.6946526487332689,-1.3184638666579522
z19804,19804,17944,7726,7.478,0.135,39.716862,-75.617677,0.6931900104602201,-1.3197774363595882
z19805,19805,40937,17071,5.319,0.002,39.743799,-75.593842,0.6936601498008299,-1.3193614371323752
z19806,19806,9560,6081,1.928,0.023,39.763305,-75.564142,0.6940005937247239,-1.318843074344533
z19807,19807,7405,3615,19.614,0.343,39.79865,-75.614358,0.6946174803488413,-1.3197195088817144
z19808,19808,38442,16318,13.983,0.002,39.737615,-75.667057,0.6935522186398865,-1.3206392799442228
z19809,19809,14049,6656,6.993,1.584,39.757786,-75.500953,0.6939042690033063,-1.3177402182434903
z19810,19810,25011,10593,7.896,0.0,39.81878,-75.5064,0.6949688151272676,-1.3178352863278464
z19901,19901,35055,14389,79.77,9.706,39.181546,-75.473517,0.683846983721614,-1.3172613697099131
z19902,19902,283,0,0.364,0.0,39.125261,-75.481823,0.6828646251521292,-1.317406336757584
z19904,19904,34132,13728,44.072,0.296,39.171293,-75.587529,0.6836680351134071,-1.319251254496697
z19930,19930,2768,8388,5.642,2.425,38.551362,-75.061096,0.6728481980282262,-1.3100632653555457
z19931,19931,211,123,0.911,0.0,38.573968,-75.623043,0.673242747158932,-1.3198710907272502
z19933,19933,8535,3441,63.3,0.182,38.728637,-75.619702,0.6759422304596991,-1.319812779276941
z19934,19934,12805,5087,43.822,0.018,39.082694,-75.628778,0.6821216908494326,-1.319971185359852
z19936,19936,302,124,0.221,0.0,39.219138,-75.584133,0.6845030878940238,-1.3191919831152992
z19938,19938,8357,3115,48.753,0.008,39.260654,-75.705055,0.6852276787862819,-1.3213024701533957
z19939,19939,5979,3165,26.041,5.817,38.565774,-75.212753,0.6730997348800235,-1.3127101793392428
z19940,19940,5574,2271,41.371,0.007,38.477562,-75.564931,0.6715601450402544,-1.3188568449923312
z19941,19941,2522,1015,33.612,0.064,38.793658,-75.426062,0.6770770609926384,-1.3164331237133793
z19943,19943,11425,4761,65.927,0.363,39.004436,-75.606986,0.6807558310834069,-1.3195908432092576
z19944,19944,620,1703,1.267,1.06,38.478535,-75.058146,0.6715771270938763,-1.3100117781426117
z19945,19945,6862,3936,62.558,1.792,38.505064,-75.228872,0.6720401454911378,-1.3129915089613715
z19946,19946,4420,1962,22.139,0.179,39.034804,-75.4496,0.6812858526706527,-1.3168439393127136
z19947,19947,18799,6408,119.679,0.208,38.66649,-75.398201,0.6748575606894622,-1.3159468575304811
z19950,19950,6951,2810,74.697,0.003,38.818451,-75.596743,0.6775097804740854,-1.3194120691339757
z19951,19951,1733,787,10.111,0.142,38.691757,-75.256875,0.6752985530315637,-1.3134802535118075
z19952,19952,10220,4201,88.037,0.112,38.921424,-75.628425,0.6793069983647415,-1.3199650243475924
z19953,19953,4386,1694,29.302,0.008,39.152487,-75.694133,0.6833398084942771,-1.3211118452924928
z19954,19954,1464,619,8.63,0.043,38.89701,-75.520457,0.6788808936811597,-1.3180806272607992
