zid,z_id,z_pop,z_house_unit,z_land,z_water,z_lat_d,z_long_d,z_lat_r,z_long_r
z601,601,18570,7744,64.348,0.309,18.180555,-66.749961,0.31731054458991764,-1.1650065950278068
z602,602,41520,18073,30.613,1.717,18.362268,-67.17613,0.3204820347335941,-1.1724446472477383
z603,603,54689,25653,31.614,0.071,18.455183,-67.119887,0.3221037074080847,-1.1714630217165392
z606,606,6615,2877,42.309,0.005,18.158345,-66.932911,0.31692290696304976,-1.1681996748943304
z610,610,29016,12618,35.916,1.611,18.290955,-67.125868,0.3192373880841194,-1.171567409859101
z612,612,67010,30992,67.609,3.787,18.402239,-66.7114,0.3211796602889088,-1.1643335786149451
z616,616,11017,4896,11.533,0.058,18.420412,-66.671979,0.3214968389738737,-1.1636455523705163
z617,617,24597,10594,15.192,1.54,18.445147,-66.559696,0.3219285461643545,-1.1616858443264997
z622,622,7853,8714,28.987,0.654,17.991245,-67.153993,0.3140064617829672,-1.1720582837112243
z623,623,43061,21426,37.98,0.631,18.083435,-67.153877,0.3156154808203808,-1.172056259129292
z624,624,26241,9905,43.163,0.975,18.063275,-66.715966,0.31526362244317874,-1.164413270348591
z627,627,35159,14431,46.355,1.354,18.41503,-66.861879,0.3214029053535314,-1.1669599326200537
z631,631,1852,842,4.021,0.259,18.190607,-66.832041,0.31748598508632814,-1.1664391612778438
z637,637,25287,10962,34.45,0.01,18.076713,-66.947389,0.3154981597880617,-1.168452363663434
z638,638,18941,7805,66.045,0.19,18.291088,-66.513306,0.31923970937202456,-1.1608761860864993
z641,641,31191,13358,93.528,1.338,18.262962,-66.71402,0.31874881806660865,-1.1643793062413474
z646,646,38199,16699,20.7,1.282,18.433167,-66.285941,0.32171945571996563,-1.1569079182327024
z647,647,6172,3482,15.205,3.094,17.963613,-66.947127,0.3135241924040561,-1.1684477909007935
z650,650,14998,6124,30.522,0.215,18.349416,-66.578079,0.3202577250181278,-1.1620066882028939
z652,652,4715,1947,6.914,0.006,18.451934,-66.603113,0.3220470016606874,-1.162443613927838
z653,653,13307,6217,15.242,2.009,17.985452,-66.888933,0.31390535485939913,-1.167432113995888
z656,656,21481,8680,32.42,1.682,18.053539,-66.792931,0.3150936971872046,-1.1657565630073885
z659,659,41953,17365,41.781,1.173,18.407222,-66.809008,0.3212666300455357,-1.1660371595912318
z660,660,17250,7783,11.344,0.0,18.134644,-67.116158,0.3165092464770346,-1.1713979383887323
z662,662,43282,20199,44.366,2.062,18.467481,-67.015974,0.32231834799949494,-1.1696493977309144
z664,664,16784,6590,45.52,0.001,18.213419,-66.589613,0.31788412959529305,-1.1622079944788188
z667,667,25968,12508,60.31,10.913,18.003422,-67.03581,0.31421899052598257,-1.16999560124134
z669,669,29744,12458,61.552,0.065,18.270899,-66.866375,0.3188873448493394,-1.1670384026232234
z670,670,9807,3973,45.57,0.138,18.236832,-66.990114,0.3182927635330625,-1.1691980555863488
z674,674,44457,19409,44.942,2.665,18.422908,-66.489337,0.3215404023920035,-1.1604578481180892
z676,676,40316,16887,50.439,0.022,18.377751,-67.080344,0.32075226406168045,-1.1707728661704229
z677,677,15272,9730,14.339,1.388,18.33256,-67.227006,0.3199635323194117,-1.1733326009579832
z678,678,27819,11619,26.361,1.466,18.434099,-66.927384,0.32173572218859414,-1.1681032105465725
z680,680,58140,27992,64.189,7.656,18.181938,-67.133802,0.31733468249347274,-1.1717058842819543
z682,682,32615,15489,14.42,2.444,18.221443,-67.156062,0.31802417481447315,-1.1720943945734483
z683,683,33772,15219,52.189,0.011,18.1078,-67.037263,0.3160407302926292,-1.1700209608753713
z685,685,42831,18877,77.532,0.795,18.332927,-66.959875,0.3199699376777665,-1.168670285473838
z687,687,32610,12381,38.871,0.054,18.318386,-66.418034,0.319716149351234,-1.1592133760015395
z688,688,13543,5353,31.815,0.03,18.382264,-66.626438,0.3208310307708229,-1.1628507119758655
z690,690,6255,2773,2.815,0.005,18.49551,-67.098671,0.32280754633553643,-1.171092732662436
z692,692,37511,16026,26.76,0.772,18.410188,-66.336556,0.32131839651114985,-1.1577913166335996
z693,693,61038,25884,39.32,1.411,18.423024,-66.39723,0.3215424269739358,-1.1588502777039544
z694,694,328,188,0.789,0.756,18.48237,-66.391079,0.32257821007182436,-1.1587429225016643
z698,698,41782,17924,69.618,2.997,18.064848,-66.856319,0.3152910764723126,-1.1668628923136428
z703,703,28605,11417,29.674,0.011,18.248401,-66.130662,0.31849468067422576,-1.1541977884234984
z704,704,8577,3871,4.876,0.685,17.96577,-66.219555,0.31356183915602165,-1.1557492639554736
z705,705,25598,10297,31.949,0.028,18.128961,-66.266683,0.3164100594156437,-1.1565718027253535
z707,707,12225,5546,21.066,1.474,18.013648,-65.920712,0.3143974678952915,-1.1505334696589362
z714,714,19566,8871,14.618,0.017,18.000198,-66.042943,0.31416272111089827,-1.1526668030569414
z715,715,3656,1532,7.89,0.058,18.011233,-66.560065,0.3143553181938558,-1.1616922845914395
z716,716,33779,14275,8.526,3.076,17.990567,-66.607542,0.3139946284506387,-1.1625209145604087
z717,717,18457,9518,2.092,0.042,18.003222,-66.614037,0.3142154998674786,-1.162634273695326
z718,718,26606,11970,45.24,1.335,18.231988,-65.759623,0.3182082197840959,-1.1477219362201911
z719,719,30990,11496,28.003,0.347,18.289927,-66.25344,0.3192194460994089,-1.156340668772512
z720,720,23129,9059,59.602,0.111,18.217946,-66.428076,0.3179631406505309,-1.1593886419650248
z723,723,19277,9358,46.16,0.51,18.043822,-66.015578,0.31492410354378825,-1.1521891937071334
z725,725,89374,38678,42.159,0.46,18.218819,-66.042375,0.31797837737490076,-1.1526568895867901
z727,727,58382,23679,21.555,0.01,18.215308,-66.073565,0.31791709886486325,-1.153201257780487
z728,728,44908,16698,15.647,8.347,17.989853,-66.664116,0.31398216679977947,-1.1635083171314322
z729,729,53750,21688,33.961,0.141,18.329829,-65.885142,0.3199158673775397,-1.1499126560440018
z730,730,35742,16253,6.506,0.048,18.030831,-66.616838,0.31469736782066166,-1.1626831603676744
z731,731,15524,5962,47.619,1.19,18.108039,-66.634653,0.31604490162954146,-1.1629940907739171
z735,735,13730,7749,23.306,0.711,18.252604,-65.682494,0.3185680368626871,-1.1463757812214206
z736,736,51532,22315,55.097,0.031,18.103624,-66.151667,0.31596784534306593,-1.1545643948328799
z738,738,34922,18383,29.438,30.391,18.304458,-65.698711,0.3194730598930162,-1.1466588212662163
z739,739,39678,15565,31.58,0.43,18.177265,-66.160577,0.317253123257527,-1.1547199036692324
z740,740,2071,1008,0.426,0.016,18.33116,-65.63412,0.3199390977098837,-1.1455314956490605
z741,741,4971,2196,2.363,1.078,18.163745,-65.754021,0.3170171547426574,-1.1476241628754942
z745,745,55062,24529,51.613,2.376,18.35284,-65.817813,0.32031748509171615,-1.1487375433119265
z751,751,23129,10808,46.975,11.343,18.001317,-66.252183,0.3141822513452281,-1.1563187299838145
z754,754,40828,17146,51.029,0.093,18.14713,-65.976289,0.3167271682874386,-1.1515034712973171
z757,757,23263,9571,29.825,2.166,17.995441,-66.391334,0.31407969579838085,-1.158747373091257
z765,765,9098,5339,19.039,0.675,18.130096,-65.439369,0.3164298689026539,-1.1421324494775091
z766,766,26488,9947,40.039,1.444,18.133196,-66.476916,0.3164839741094657,-1.1602410607716989
z767,767,38019,15831,55.406,2.627,18.069413,-65.89649,0.31537075075266613,-1.1501107160075181
z769,769,40248,16612,76.513,0.015,18.1038,-66.357586,0.31597091712254943,-1.158158359375294
z771,771,38394,16142,33.819,0.013,18.187201,-65.871196,0.31742653917200525,-1.1496692524265186
z772,772,23105,10211,14.662,5.266,18.438969,-65.905174,0.3218207197231663,-1.1502622803997613
z773,773,20068,10968,24.311,0.993,18.343799,-65.726378,0.3201596898740433,-1.1471417015103655
z775,775,1786,1569,10.558,12.91,18.327485,-65.295977,0.31987495685987294,-1.1396297869564893
z777,777,40684,16867,26.581,0.127,18.224133,-65.908542,0.31807112417135175,-1.1503210630889684
z778,778,45429,18127,29.644,0.431,18.263023,-65.979078,0.31874988271745236,-1.1515521485301552
z780,780,13800,5295,20.09,0.324,18.102834,-66.568105,0.3159540572419752,-1.1618326090633
z782,782,19304,7535,26.644,0.123,18.225708,-66.221633,0.31809861310707066,-1.15578553189733
z783,783,36557,13798,41.847,0.006,18.30391,-66.326179,0.3194634954887153,-1.1576102038171199
z784,784,44637,19159,55.555,6.285,18.010721,-66.133613,0.31434638210808563,-1.1542492930897246
z786,786,357,145,0.257,0.0,18.155424,-66.229907,0.316871925895599,-1.15592994043964
z791,791,53417,25871,36.954,1.108,18.136752,-65.821487,0.3165460380176666,-1.148801666708645
z794,794,30585,11502,35.297,0.03,18.199014,-66.309782,0.31763271491654327,-1.1573240221796706
z795,795,48736,19196,46.26,0.37,18.060532,-66.499473,0.3152157480617965,-1.160634754691071
z901,901,7080,4990,0.978,0.012,18.465424,-66.104723,0.3222824465767814,-1.1537450674688237
z906,906,4,168,0.003,0.0,18.46446,-66.094995,0.32226562160279215,-1.1535752818391893
z907,907,17458,13224,1.21,0.134,18.452679,-66.078113,0.3220600043636147,-1.153280635354868
z909,909,6230,3805,0.608,0.019,18.44161,-66.067132,0.3218668138687115,-1.1530889807497064
z911,911,8623,6096,0.481,0.0,18.451128,-66.056223,0.32203293430691626,-1.1528985827816063
z912,912,6801,3884,0.33,0.0,18.445289,-66.060139,0.3219310245318923,-1.1529669298751144
z913,913,9312,4065,0.326,0.0,18.44997,-66.042664,0.3220127233941782,-1.1526619335883284
z915,915,32820,16538,1.391,0.317,18.437179,-66.045571,0.3217894783295556,-1.1527126703096837
z917,917,21053,12348,1.297,0.018,18.420674,-66.050105,0.321501411736514,-1.1527918035379692
z918,918,18056,10850,2.131,0.039,18.421022,-66.065789,0.3215074854823109,-1.1530655409778519
z920,920,17893,9322,2.831,0.052,18.414292,-66.088042,0.32139002482365164,-1.1534539290962984
z921,921,37763,17728,2.676,0.0,18.392273,-66.088552,0.32100572077565503,-1.1534628302754837
z923,923,29086,13969,2.04,0.003,18.409307,-66.038888,0.3213030201604397,-1.152596029955773
z924,924,56691,24971,4.689,0.001,18.399196,-66.012452,0.3211265499197706,-1.1521346347147157
z925,925,8696,5413,0.447,0.0,18.400296,-66.050602,0.32114574854154254,-1.1528004778243517
z926,926,108862,47317,24.16,0.406,18.3454,-66.051545,0.32018763259536775,-1.152816936279198
z927,927,14936,7893,2.627,0.002,18.387953,-66.072098,0.3209303225519689,-1.1531756538003601
z934,934,288,140,0.749,0.01,18.411313,-66.124234,0.3213380314652347,-1.1540855986591803
z936,936,681,4,0.161,0.0,18.395463,-66.073772,0.32106139677879364,-1.1532048706120388
z949,949,82278,33340,17.608,0.823,18.430696,-66.212833,0.32167632863414886,-1.1556319429231545
z950,950,9,5,2.396,0.768,18.463692,-66.234559,0.3222522174741369,-1.156011133156443
z951,951,35,19,0.415,0.011,18.42753,-66.253789,0.32162107151003066,-1.1563467599716013
z952,952,10008,4169,1.238,0.0,18.427441,-66.182032,0.3216195181669964,-1.155094364060248
z953,953,73014,26609,26.697,0.527,18.360727,-66.251526,0.32045513920982094,-1.1563072631706286
z956,956,79304,32550,26.473,0.083,18.319539,-66.168891,0.31973627299750945,-1.1548650103432432
z957,957,45680,18275,4.62,0.001,18.368533,-66.187693,0.3205913796112316,-1.155193167149203
z959,959,50560,22445,6.413,0.032,18.388924,-66.154999,0.3209472696990057,-1.1546225492035562
z960,960,1779,0,0.93,0.001,18.416919,-66.145795,0.3214358746231016,-1.1544619090992028
z961,961,32429,13394,5.161,0.079,18.41223,-66.165168,0.32135403613447555,-1.1548000317351914
z962,962,22491,8939,3.813,0.445,18.442299,-66.145357,0.3218788391872577,-1.154454264557079
z965,965,9134,3848,0.652,0.132,18.433757,-66.114752,0.32172975316255237,-1.153920106539506
z966,966,16676,7894,3.244,0.002,18.401536,-66.117584,0.32116739062426725,-1.1539695342639222
z968,968,3478,2228,0.456,0.0,18.406077,-66.101223,0.3212466460256003,-1.1536839809450037
z969,969,42219,17775,4.874,0.015,18.368062,-66.108062,0.32058315911045465,-1.1538033440125477
z971,971,30986,12895,15.955,0.036,18.318832,-66.119215,0.3197239335196979,-1.1539980005840225
z976,976,65136,26564,16.74,0.285,18.336408,-65.994057,0.3200306925890284,-1.1518135813988113
z979,979,17030,12765,1.568,0.195,18.444389,-66.030129,0.32191531656862443,-1.152443156566591
z982,982,16428,7402,1.411,0.007,18.411261,-65.992045,0.32133712389402375,-1.1517784653742615
z983,983,39234,16985,3.47,0.24,18.418007,-65.97707,0.3214548638053632,-1.1515171023187751
z985,985,36553,15241,8.14,0.293,18.408588,-65.946933,0.32129047124311794,-1.1509911124421017
z987,987,63661,25557,24.816,0.175,18.338161,-65.941083,0.32006128821081586,-1.15088901068086
z1001,1001,16769,7557,11.442,0.861,42.062332,-72.628274,0.7341261844669715,-1.2676025113405922
z1002,1002,29049,10388,55.041,1.653,42.363977,-72.458507,0.7393908828891498,-1.2646395182293588
z1003,1003,10372,5,0.711,0.005,42.389941,-72.524108,0.7398440401761376,-1.2657844716719597
z1005,1005,5079,2044,44.242,0.258,42.418848,-72.106598,0.7403485625030115,-1.2584975475119582
z1007,1007,14649,5839,52.643,2.681,42.27901,-72.400468,0.7379079289836077,-1.263626546584794
z1008,1008,1263,586,53.796,1.964,42.191846,-72.957325,0.7363866301943994,-1.273345534697572
z1009,1009,741,341,0.797,0.0,42.211969,-72.341433,0.7367378427997783,-1.262596191460879
z1010,1010,3609,1598,34.743,0.548,42.129477,-72.205302,0.7352980857932231,-1.2602202572968468
z1011,1011,1370,659,31.616,0.132,42.300281,-72.968716,0.7382791779687994,-1.2735443451526667
z1012,1012,661,343,13.119,0.21,42.375425,-72.858192,0.7395906881819181,-1.2716153374501924
z1013,1013,23188,10246,5.624,0.669,42.154904,-72.602804,0.7357418706621277,-1.2671579759801093
z1020,1020,29668,13688,12.474,0.455,42.172698,-72.561835,0.7360524345492275,-1.2664429320388597
z1022,1022,2451,1209,4.758,0.001,42.197741,-72.542713,0.7364895173538045,-1.2661091901792934
z1026,1026,946,513,24.004,0.128,42.465495,-72.918267,0.7411627062391893,-1.272663843998328
z1027,1027,17660,8311,40.501,0.459,42.295008,-72.751877,0.7381871467573419,-1.2697597906559344
z1028,1028,15720,6106,13.006,0.07,42.059614,-72.501234,0.7340787464179024,-1.2653852450588585
z1029,1029,789,1078,15.848,2.052,42.193395,-73.044647,0.7364136653445129,-1.2748695911069983
z1030,1030,11669,4582,11.867,0.181,42.072925,-72.686972,0.7343110671946352,-1.2686269847049276
z1031,1031,1308,596,8.092,0.0,42.329398,-72.19819,0.7387873654871027,-1.2600961294804447
z1032,1032,570,363,11.769,0.343,42.457613,-72.81478,0.7410251393875472,-1.2708576551153166
z1033,1033,6227,2454,27.826,0.258,42.244958,-72.500034,0.7373136094667186,-1.2653643011078346
z1034,1034,2021,1145,71.534,1.936,42.098207,-72.961272,0.7347523213361246,-1.273414422843148
z1035,1035,5250,2230,23.086,1.521,42.356482,-72.568576,0.7392600704617128,-1.2665605846837364
z1036,1036,5109,1937,19.507,0.041,42.062946,-72.417297,0.7341369007885787,-1.263920268044612
z1037,1037,838,253,13.279,0.091,42.367961,-72.18871,0.7394604168065493,-1.2599306722673558
z1038,1038,2545,1181,9.998,0.867,42.385496,-72.606929,0.7397664602908864,-1.2672299708117538
z1039,1039,1336,640,13.207,0.23,42.404278,-72.688922,0.740094268030996,-1.2686610186253418
z1040,1040,39880,16384,21.281,1.554,42.211656,-72.642448,0.7367323799192195,-1.2678498943087697
z1050,1050,2530,1167,38.329,0.997,42.28675,-72.869693,0.7380430174677121,-1.2718160677674641
z1053,1053,1685,636,5.131,0.097,42.356301,-72.713584,0.7392569114157667,-1.2690914517254683
z1054,1054,1851,811,22.807,0.164,42.469588,-72.484502,0.7412341425654735,-1.265093216568415
z1056,1056,21103,8383,27.205,1.095,42.188865,-72.459078,0.7363346019293975,-1.2646494840593878
z1057,1057,8534,3470,44.907,0.621,42.093596,-72.321494,0.734671844204315,-1.262248190261324
z1060,1060,15284,7307,10.918,1.259,42.321488,-72.630588,0.7386493099432699,-1.2676428982594834
z1062,1062,11150,4784,18.154,0.153,42.328314,-72.703923,0.738768446118011,-1.2689228354664333
z1063,1063,430,1,0.039,0.0,42.318882,-72.63853,0.738603826662963,-1.2677815123086766
z1066,1066,64,25,0.71,0.047,42.406903,-72.655018,0.7401400829238609,-1.2680692821957456
z1068,1068,1902,711,20.83,0.389,42.350862,-72.044248,0.7391619829577507,-1.2574093347233397
z1069,1069,8469,3779,28.065,0.296,42.187794,-72.308469,0.7363159094531085,-1.2620208611262516
z1070,1070,629,320,20.541,0.229,42.518446,-72.919017,0.7420868755314128,-1.272676933967718
z1071,1071,1596,638,15.579,0.31,42.16006,-72.873853,0.7358318598383605,-1.2718886734643473
z1072,1072,1478,748,20.086,0.518,42.456968,-72.417244,0.7410138820138719,-1.2639193430201083
z1073,1073,5792,2337,28.152,0.802,42.226949,-72.741588,0.736999293121727,-1.2695802137291967
z1074,1074,319,132,0.085,0.02,42.387603,-72.09323,0.7398032343782259,-1.2582642318975517
z1075,1075,17527,7162,17.718,0.685,42.256346,-72.580763,0.7375123675619358,-1.2667732879596771
z1077,1077,9502,3916,30.821,0.831,42.05257,-72.777353,0.7339558054253918,-1.2702044307361728
z1079,1079,692,325,1.128,0.042,42.197424,-72.32702,0.7364839846600756,-1.2623446371557892
z1080,1080,2334,1093,1.727,0.1,42.182218,-72.365654,0.7362185898940174,-1.2630189276590047
z1081,1081,1698,820,14.496,0.219,42.061313,-72.234411,0.7341083995618937,-1.2607283051888096
z1082,1082,10322,4768,46.105,6.248,42.293533,-72.278599,0.7381614031508749,-1.261499531278681
z1083,1083,2888,1270,15.78,0.061,42.203642,-72.194599,0.7365925092329647,-1.2600334547070056
z1084,1084,176,88,9.197,0.086,42.39237,-72.882235,0.7398864342236685,-1.2720349669622493
z1085,1085,41117,16363,59.946,1.145,42.153503,-72.771602,0.7357174185993073,-1.2701040568508906
z1086,1086,687,0,0.037,0.0,42.130446,-72.793967,0.735314998033675,-1.270494399738099
z1088,1088,670,357,5.2,0.014,42.391709,-72.646494,0.7398748975973128,-1.2679205103303055
z1089,1089,28391,12697,16.713,0.809,42.125451,-72.649734,0.7352278188375377,-1.2679770589980701
z1092,1092,1394,591,6.703,0.031,42.191868,-72.235108,0.7363870141668348,-1.260740470133696
z1093,1093,325,156,5.044,0.006,42.435121,-72.654963,0.7406325799321887,-1.2680683222646567
z1094,1094,351,171,1.136,0.066,42.359108,-72.1368,0.7393059028078701,-1.2590246718526454
z1095,1095,14319,5535,22.614,0.224,42.127327,-72.427404,0.7352605612143053,-1.264096668472111
z1096,1096,2217,1029,31.683,0.206,42.39714,-72.763572,0.7399696864289887,-1.2699639069119553
z1097,1097,111,40,1.709,0.081,42.178038,-72.832612,0.7361456351312841,-1.2711688822275322
z1098,1098,1101,610,31.352,0.148,42.394315,-72.943115,0.7399203808776198,-1.2730975234108637
z1103,1103,2479,1661,0.46,0.079,42.104106,-72.592027,0.7348552783086996,-1.2669698818466217
z1104,1104,22865,9381,5.216,0.082,42.134009,-72.565378,0.7353771841149235,-1.2665047690542577
z1105,1105,12350,5586,1.243,0.119,42.095207,-72.577579,0.7346999614585648,-1.2667177166762935
z1106,1106,16021,6107,9.301,0.514,42.047565,-72.57113,0.7338684516963295,-1.2666051603928323
z1107,1107,11611,4252,1.507,0.034,42.12106,-72.607068,0.7351511814300827,-1.2672323968194141
z1108,1108,26688,10992,3.723,0.157,42.080692,-72.560791,0.7344466269176376,-1.2664247108014688
z1109,1109,30250,10818,5.442,0.188,42.119674,-72.549726,0.7351269911666501,-1.2662315901197359
z1118,1118,14071,5911,3.595,0.101,42.093732,-72.525905,0.7346742178520979,-1.265815835238618
z1119,1119,14152,5185,3.55,0.093,42.124978,-72.51121,0.7352195634301758,-1.2655593591050376
z1128,1128,2631,1077,1.117,0.0,42.092296,-72.489135,0.734649154924039,-1.2651740776726599
z1129,1129,7019,2982,3.424,0.092,42.119062,-72.487401,0.7351163097516279,-1.26514381366343
z1151,1151,8698,3699,2.368,0.179,42.15186,-72.509131,0.735688742839697,-1.2655230737098884
z1199,1199,0,0,0.011,0.0,42.120563,-72.604468,0.7351425071437002,-1.2671870182588623
z1201,1201,46504,22443,52.918,2.607,42.448236,-73.273727,0.7408614798635877,-1.2788677913574669
z1220,1220,8603,4434,24.591,0.079,42.623799,-73.116736,0.7439256322582665,-1.2761277815114687
z1222,1222,829,361,3.307,0.129,42.058703,-73.322175,0.7340628464684166,-1.2797133684734734
z1223,1223,2314,1986,69.751,2.044,42.312225,-73.110124,0.7384876400946576,-1.2760123803413268
z1224,1224,182,81,0.278,0.032,42.513356,-73.195594,0.7419980382724864,-1.2775041132530063
z1225,1225,3117,1466,25.106,0.703,42.563363,-73.153566,0.7428708250715312,-1.276770586274978
z1226,1226,6945,2993,26.378,0.142,42.481119,-73.135073,0.741435396481521,-1.276447822536407
z1229,1229,95,61,0.733,0.001,42.276338,-73.335896,0.7378612937859945,-1.2799528451001394
z1230,1230,8430,4633,91.519,1.749,42.172941,-73.324463,0.7360566756993099,-1.2797533016067588
z1235,1235,2766,1507,45.643,1.079,42.43062,-73.064073,0.7405540226625563,-1.2752086387674908
z1236,1236,1509,784,4.802,0.061,42.266496,-73.378393,0.7376895184810132,-1.2806945576723594
z1237,1237,2496,1334,61.823,0.44,42.547818,-73.268033,0.7425995136393087,-1.2787684123098586
z1238,1238,6047,3155,34.833,1.045,42.297501,-73.230148,0.738230657815594,-1.2781071943227404
z1240,1240,4534,2920,21.38,0.448,42.367862,-73.269768,0.7394586889305897,-1.2787986937723805
z1242,1242,476,214,0.497,0.01,42.333734,-73.249199,0.7388630429634692,-1.2784396969985379
z1243,1243,334,188,18.651,0.022,42.350122,-73.024112,0.739149067521286,-1.2745111877451014
z1244,1244,151,84,2.45,0.027,42.118094,-73.257497,0.7350994149644685,-1.2785845244198684
z1245,1245,985,914,27.98,0.791,42.186893,-73.223105,0.7363001840365481,-1.2779842707835227
z1247,1247,16087,7785,52.524,0.571,42.698437,-73.08409,0.74522831110537,-1.2755580013238625
z1253,1253,731,568,18.267,0.403,42.206683,-73.113214,0.7366455846955178,-1.2760663110152135
z1254,1254,972,591,14.561,0.057,42.382019,-73.365492,0.7397057751927946,-1.2804693927455597
z1255,1255,915,671,51.806,1.176,42.107496,-73.118607,0.7349144449703422,-1.2761604366217734
z1256,1256,692,357,35.845,0.175,42.594166,-73.02232,0.743408438841023,-1.2744799114449055
z1257,1257,2121,1231,36.235,0.858,42.085245,-73.367482,0.7345260917584809,-1.2805041247976743
z1258,1258,374,338,25.807,0.154,42.10928,-73.462886,0.7349455816441978,-1.282169238717247
z1259,1259,635,431,25.326,0.788,42.075469,-73.234376,0.734355468370806,-1.2781809868435148
z1260,1260,240,134,2.511,0.039,42.295696,-73.342543,0.7381991546225956,-1.2800688571355197
z1262,1262,1238,1068,12.034,0.822,42.292202,-73.319209,0.7381381728185309,-1.279661602007859
z1264,1264,137,109,11.361,0.035,42.23159,-73.202428,0.737080293852312,-1.2776233890540876
z1266,1266,1463,1096,26.052,0.301,42.312338,-73.387824,0.7384896123167124,-1.2808591596741148
z1267,1267,7989,3202,54.554,0.132,42.671616,-73.246981,0.7447601963466927,-1.2784009855957288
z1270,1270,778,441,31.858,0.162,42.515272,-73.031166,0.7420314787809547,-1.2746343032705372
z1301,1301,17700,8485,25.491,0.536,42.626761,-72.60153,0.7439773289107106,-1.2671357404854386
z1330,1330,1506,771,33.326,0.244,42.513947,-72.821517,0.7420083531683658,-1.2709752379470234
z1331,1331,13263,6028,53.222,1.385,42.562408,-72.19108,0.7428541571771746,-1.259972036570628
z1337,1337,2596,1165,37.223,0.064,42.689307,-72.582249,0.7450689625446629,-1.266799223552362
z1338,1338,187,82,3.454,0.005,42.572652,-72.824428,0.7430329487057489,-1.271026044481549
z1339,1339,1438,787,54.978,0.243,42.603776,-72.889644,0.7435761649821397,-1.2721642784065297
z1340,1340,1701,954,44.182,0.254,42.694726,-72.711079,0.7451635419368285,-1.269047731227706
z1341,1341,1833,801,35.686,0.18,42.496937,-72.709414,0.7417114726626015,-1.2690186714956602
z1342,1342,1492,518,17.834,0.854,42.543889,-72.609458,0.7425309396529979,-1.267274110188537
z1343,1343,75,38,4.871,0.03,42.657625,-72.978931,0.7445160073310462,-1.2737226305357578
z1344,1344,1498,654,13.635,0.518,42.613418,-72.426427,0.743744449628617,-1.2640796166053192
z1346,1346,533,429,20.996,0.038,42.693275,-72.823113,0.7451382172093821,-1.2710030934018854
z1347,1347,166,75,0.577,0.085,42.559294,-72.518753,0.7427998076242676,-1.2656910092905154
z1349,1349,1091,496,7.674,0.221,42.563061,-72.482122,0.7428655541771901,-1.2650516777322174
z1350,1350,121,77,10.721,0.106,42.727772,-72.985346,0.7457403034414426,-1.2738345934072735
z1351,1351,2270,1032,20.926,0.435,42.53988,-72.521689,0.7424609694032853,-1.2657422521573538
z1354,1354,1500,608,13.764,1.029,42.624076,-72.508643,0.7439304668202945,-1.265514556503139
z1355,1355,878,418,47.38,13.775,42.458522,-72.327219,0.7410410044304478,-1.2623481103610006
z1360,1360,3032,1391,34.285,1.086,42.677091,-72.453876,0.7448557531232393,-1.264558692031699
z1364,1364,7969,3652,39.229,1.102,42.615152,-72.289902,0.7437747136378465,-1.2616968058440339
z1366,1366,1277,566,40.405,0.561,42.475621,-72.192468,0.7413394382792463,-1.2599962617406457
z1367,1367,522,300,26.536,0.683,42.695532,-72.909148,0.7451776092905996,-1.2725046874238386
z1368,1368,1261,578,41.842,0.706,42.679456,-72.176935,0.744897030160049,-1.2597251597479335
z1370,1370,4084,1976,49.819,0.54,42.593338,-72.726941,0.7433939875148166,-1.2693245753536573
z1373,1373,4600,2076,24.161,0.568,42.473862,-72.615612,0.7413087379377037,-1.2673815177507044
z1375,1375,3684,1729,14.23,0.521,42.466762,-72.546855,0.7411848195608123,-1.2661814817169108
z1376,1376,5247,2503,2.761,0.566,42.59528,-72.555002,0.7434278818088903,-1.2663236736910708
z1378,1378,774,441,34.021,0.314,42.673533,-72.353213,0.7447936543084533,-1.262801791246764
z1379,1379,813,420,30.206,0.372,42.55631,-72.407148,0.7427477269993881,-1.2637431345788273
z1420,1420,40337,17128,30.317,0.687,42.584925,-71.816862,0.7432471529648462,-1.2534407003503998
z1430,1430,6089,2606,36.992,2.606,42.657005,-71.923442,0.7445051862896837,-1.2553008722671752
z1431,1431,3074,1191,23.703,0.387,42.676293,-71.832523,0.7448418253958085,-1.2537140363645545
z1432,1432,7089,3422,8.451,0.471,42.566573,-71.575135,0.7429268501405202,-1.2492217683094315
z1434,1434,1795,122,5.281,0.155,42.539088,-71.611613,0.7424471463956096,-1.249858429513974
z1436,1436,3336,1214,9.595,0.196,42.603374,-72.088395,0.7435691487585467,-1.2581798452282178
z1438,1438,559,214,0.542,0.019,42.562243,-72.031402,0.7428512773839089,-1.2571851297276284
z1440,1440,20347,9179,24.042,0.961,42.586516,-71.988062,0.7432749211532454,-1.256428704029814
z1450,1450,10646,3989,32.762,0.995,42.61176,-71.565269,0.7437155120696188,-1.2490495741254297
z1451,1451,4747,1824,19.132,0.65,42.501908,-71.568201,0.741798232979718,-1.2491007471790982
z1452,1452,4382,1662,41.071,0.929,42.489598,-72.002878,0.7415833829487976,-1.2566872920117895
z1453,1453,40883,17912,28.47,0.529,42.51996,-71.763075,0.742113299816288,-1.2525019401056297
z1460,1460,8924,3477,16.522,0.997,42.535931,-71.490569,0.7423920463511241,-1.2477458131741899
z1462,1462,10086,4133,26.479,1.263,42.582607,-71.720464,0.7432066962327851,-1.2517582378580625
