zid,mid,ddist
z44134,m13375,49.715288
z44134,m97831,66.660702
z44134,m51364,28.833487
z44901,m766,64.355414
z44901,m13375,65.650352
z44901,m19234,64.572273
z44901,m51364,57.44266
z44901,m54091,3.242936
z44901,m61705,58.357318
z45166,m16885,53.692685
z45166,m19234,62.183722
z45166,m83980,37.208328
z45166,m56926,43.228794
z45166,m22528,40.376079
z45410,m16885,47.845582
z45410,m83980,29.671717
z45410,m56926,26.633833
z45410,m22528,3.264684
z46044,m45694,37.10021
z46044,m41212,37.540762
z46044,m60625,23.092018
z46044,m2386,14.423889
z46044,m46018,70.240421
z47928,m15211,59.244015
z47928,m22204,25.89813
z47928,m87139,38.034131
z47928,m46018,62.645401
z48603,m56980,19.095979
z48603,m47719,70.352268
z48603,m29872,45.91871
z48603,m77149,3.923338
z48603,m5869,17.993667
z48763,m56980,81.473569
z48763,m77149,81.225642
z48763,m5869,71.154458
z49048,m83116,72.539494
z49048,m47719,73.382695
z49048,m34300,58.791035
z49048,m39430,75.793615
z49048,m26794,59.696995
z49048,m43723,7.461425
z49048,m42157,62.052613
z49048,m5707,21.153961
z49048,m7138,56.281938
z49326,m47719,73.098728
z49326,m34300,37.336952
z49326,m39430,62.283763
z49326,m60841,63.677498
z50002,m23743,56.7722
z50049,m23743,59.759132
z50124,m23743,28.051181
z50124,m2062,12.423074
z50157,m92593,61.380289
z50157,m23743,68.183061
z50157,m2062,75.768139
z50157,m14752,74.902569
z50157,m41590,56.71752
z50219,m23743,48.586878
z50219,m2062,76.38951
z51056,m82225,37.269844
z52001,m24823,4.155109
z54660,m45910,42.240192
z55426,m77338,69.066651
z55426,m57628,5.665041
z56553,m29089,38.168347
z60016,m75718,72.194012
z60016,m73153,58.089507
z60016,m22960,65.180595
z60016,m44506,44.904011
z60016,m76474,33.812535
z60016,m16264,19.89817
z60033,m6760,31.627172
z60033,m75718,28.746495
z60033,m73153,62.305511
z60033,m22960,37.491674
z60033,m44506,49.129335
z60033,m76474,28.261826
z60033,m42562,34.901798
z60033,m16264,69.199624
z60033,m57466,69.467435
z60408,m22960,70.831345
z60408,m16264,48.256308
z60408,m43885,22.407267
z60913,m16264,63.184751
z60913,m43885,14.536979
z61251,m22366,38.193202
z61749,m83899,38.766106
z61749,m15211,52.107567
z61749,m8407,34.988169
z61749,m68509,64.900357
z61749,m22717,26.353595
z62273,m1765,41.484605
z62273,m77770,48.203492
z62419,m28333,69.42891
z62526,m83899,44.22423
z62526,m15211,46.932166
z62526,m8407,45.015236
z62526,m22717,7.263208
z62612,m83899,25.909315
z62612,m22717,63.6601
z62693,m83899,18.057047
z62693,m8407,56.549128
z62693,m68509,61.384639
z62693,m22717,39.451478
z62895,m13591,68.027097
z62895,m28333,71.92558
z62966,m13591,18.272663
z62966,m13537,51.612334
z63090,m1765,75.871908
z63090,m77770,51.241997
z64873,m83953,51.446428
z64873,m43399,30.952363
z64873,m29494,81.702855
z66070,m88084,32.604589
z66070,m43912,63.204014
z66070,m77743,62.284384
z66070,m48232,27.826245
z66091,m48232,62.030243
z66512,m88084,20.365441
z66512,m53848,74.511727
z66512,m43912,67.296986
z66512,m77743,60.908668
z66512,m48232,36.34338
z68463,m49933,34.064812
z68463,m65269,32.636901
z71429,m1279,72.663147
z71655,m69454,51.583751
z72011,m50392,30.850458
z72011,m69454,43.942128
z72011,m19801,51.942282
z72011,m40213,46.953293
z72926,m30925,58.305123
z72926,m40213,65.370735
z72935,m30925,29.348604
z72935,m29494,71.783907
z74114,m88948,3.62073
z74723,m81631,52.300813
z75167,m22042,43.106384
z75167,m52687,67.504524
z75167,m23500,62.450912
z75167,m91027,69.738974
z75232,m22042,21.157068
z75232,m52687,44.922652
z75232,m23500,39.86904
z75411,m81631,76.674098
z76448,m280,59.316715
z76901,m78553,15.905238
z77034,m46801,55.63447
z77034,m87220,21.554745
z77034,m19755,43.00945
z77034,m40429,19.287362
z77488,m46801,58.04974
z77488,m40429,60.275491
z78385,m20287,71.550271
z78598,m36892,48.232696
z78598,m52390,78.73208
z78598,m10972,69.640176
z78606,m79201,43.854515
z78606,m78580,47.465303
z78606,m4384,58.813405
z78671,m79201,58.823347
z78671,m78580,62.434135
z78671,m4384,66.843385
z79106,m1927,3.746247
z79336,m51877,31.736534
z80545,m30628,61.795986
z80545,m16237,79.632447
z80545,m34786,85.899596
z80545,m51175,95.090919
z83646,m60976,13.401113
z83646,m8785,11.003241
z84120,m64945,36.169396
z84120,m72559,39.415439
z84120,m78499,7.764033
z84745,m77446,22.24571
z85051,m4549,26.449286
z85051,m14401,59.049526
z85051,m69184,14.649447
z86445,m47995,58.72952
z91501,m87490,44.689016
z91501,m12754,48.2706
z91501,m79309,26.753137
z91501,m82144,31.464373
z91501,m51445,23.485346
z91501,m90541,84.400228
z91501,m47611,58.351105
z91501,m75340,65.787675
z91501,m66673,58.092614
z91501,m57709,63.409066
z91948,m26416,79.355315
z91948,m78661,58.441825
z92508,m41347,68.22345
z92508,m60799,26.441208
z92508,m51445,53.5274
z92508,m90541,56.175684
z92508,m75340,11.502202
z92508,m57709,51.440836
z92508,m38215,28.605444
z92620,m60799,51.214656
z92620,m51445,30.815662
z92620,m90541,75.17473
z92620,m75340,38.669172
z92620,m57709,14.57364
z92620,m38215,69.807325
z95317,m31843,58.238015
z95317,m54145,66.948396
z95317,m58006,53.485147
z95317,m89083,39.240212
z95317,m56251,16.108427
z95317,m52984,31.112056
z95841,m61057,71.096049
z95841,m85087,56.046439
z95841,m28657,52.540041
z95841,m22420,25.813002
z95841,m96994,25.948461
z95841,m89866,43.241843
z95841,m77068,2.974504
z95841,m97939,47.881621
z95841,m2683,76.54361
z95841,m50851,43.712842
z96113,m74179,54.35196
z96729,m43669,
z96729,m43615,
z96729,m89770,
z96734,m43669,4.18742
z96734,m89770,16.548358
z96763,m43615,
z97216,m78229,55.160363
z97216,m51283,52.252968
z97216,m71317,7.311675
z97702,m6868,6.705217
z98148,m9946,57.371824
z98148,m65242,48.85096
z98148,m55333,48.261279
z98148,m80389,4.093593
z98424,m9946,40.824087
z98424,m65242,32.303224
z98424,m55333,63.961465
z98424,m80389,19.94353
z98559,m9946,68.582603
z98559,m65242,35.434935
z98559,m51283,71.238964
z99163,m49312,33.650357
z99688,m2305,98.000179
z1010,m97291,33.78768
z1010,m37243,53.226035
z1010,m72505,64.539962
z1010,m92485,81.865655
z1010,m9271,78.961987
z1010,m64135,73.223624
z1010,m69778,83.862742
z1010,m83926,23.277186
z1010,m49096,57.579983
z1224,m970,51.47004
z1224,m37243,90.030472
z1224,m45262,83.087892
z1224,m79633,73.677225
z1224,m69778,3.201304
z1224,m83926,62.54536
z1258,m970,65.19613
z1258,m71803,76.066397
z1258,m37243,63.230733
z1258,m45262,48.658957
z1258,m22096,64.989213
z1258,m92485,66.215178
z1258,m69778,36.245203
z1258,m83926,80.948511
z1360,m97291,71.361996
z1360,m53740,75.47858
z1360,m69778,63.277957
z1360,m83926,52.032381
z1360,m61165,76.239138
z1360,m49096,40.779349
z1840,m97291,50.171374
z1840,m53740,30.480742
z1840,m71506,35.183901
z1840,m9271,29.068366
z1840,m24607,47.303125
z1840,m61165,24.252118
z1840,m49096,45.023935
z2812,m97291,77.253838
z2812,m37243,78.692312
z2812,m72505,31.706086
z2812,m64135,30.508704
z2812,m61786,63.252481
z2812,m5167,96.528151
z2895,m97291,30.825603
z2895,m72505,18.055183
z2895,m9271,46.416428
z2895,m64135,69.796141
z2895,m83926,71.147623
z2895,m61165,74.399258
z2895,m61786,45.744104
z2895,m5167,73.906511
z2895,m49096,57.069837
z2906,m97291,50.73123
z2906,m72505,5.644536
z2906,m9271,51.631596
z2906,m64135,57.893154
z2906,m61786,32.4828
z2906,m5167,65.758471
z2906,m49096,68.861598
z3106,m97291,79.789032
z3106,m53740,8.886851
z3106,m71506,46.837096
z3106,m9271,58.297667
z3106,m24607,44.909603
z3106,m61165,25.80741
z3106,m49096,74.641593
z3280,m53740,48.249473
z3280,m24607,79.3578
z3280,m61165,65.6721
z3280,m49096,60.71915
z5759,m79633,76.114243
z5759,m33598,53.637383
z6401,m62407,14.958269
z6401,m71803,70.292616
z6401,m37243,45.180521
z6401,m22096,28.916751
z6401,m92485,17.390316
z6401,m64135,63.381104
z6401,m83926,75.076553
z6401,m10162,35.915255
z6424,m62407,35.581579
z6424,m37243,27.070657
z6424,m22096,61.293297
z6424,m72505,74.915618
z6424,m92485,33.082424
z6424,m64135,37.162968
z6424,m83926,51.059314
z7436,m89263,75.784295
z7436,m71803,47.846825
z7436,m25849,68.225936
z7436,m22096,77.418501
z7436,m56899,45.097878
z7436,m63217,36.041393
z7436,m10162,53.47769
z8092,m89263,54.762065
z8092,m90730,55.115625
z8092,m90658,61.97432
z8092,m88462,52.98805
z8092,m3898,31.288525
z8092,m69076,67.214343
z11771,m62407,92.314633
z11771,m71803,99.959362
z11771,m22096,84.36978
z11771,m92485,106.299213
z11771,m63217,31.750825
z11771,m10162,58.10442
z12148,m970,12.095612
z12148,m79633,22.212156
z12148,m33598,42.766494
z12148,m69778,59.419863
z12936,m11755,22.983278
z13206,m41914,57.440796
z13206,m86302,6.653021
z13206,m89785,45.530353
z13658,m92674,66.558797
z14805,m7732,62.01036
z14805,m41914,20.592863
z14805,m86302,78.733322
z14805,m27118,27.24837
z15221,m94726,66.153041
z15221,m93592,46.584198
z15221,m69697,5.699217
z15221,m58168,44.771659
z15221,m89650,52.103839
z15221,m59275,79.541726
z15221,m43291,63.002689
z15921,m21745,61.814628
z15921,m89650,82.345353
z15921,m1792,31.643328
z15921,m43291,15.349733
z15921,m84493,76.070125
z16441,m27766,13.251983
z16673,m21745,58.283375
z16673,m15184,69.949619
z16673,m1792,15.134738
z16673,m43291,50.621247
z16673,m84493,59.561536
z17370,m48664,42.968439
z17370,m97750,17.571756
z17370,m47530,39.653424
z17370,m73693,68.003485
z17370,m199,62.752277
z17370,m37081,13.473192
z17370,m31519,79.499473
z17370,m15184,62.566487
z17370,m36784,35.610162
z17370,m94294,69.437609
z19061,m89263,67.497067
z19061,m90730,40.579267
z19061,m47530,60.73717
z19061,m71749,52.45802
z19061,m88462,55.579789
z19061,m3898,72.752625
z19061,m73693,55.89296
z19061,m199,58.687888
z19061,m69076,17.644456
z19061,m24580,58.926494
z19061,m1495,74.380617
z19115,m89263,31.728456
z19115,m90730,54.409126
z19115,m71749,50.75857
z19115,m88462,23.284643
z19115,m3898,71.049446
z19115,m73693,77.8168
z19115,m69076,18.944986
z19115,m1495,71.938007
z19955,m78364,70.04966
z19955,m90730,76.603262
z19955,m90658,115.346999
z19955,m3898,117.059498
z19955,m199,78.154826
z19955,m69076,70.034126
z19955,m4843,75.413336
z19955,m24580,10.080505
z21071,m92242,65.273801
z21071,m97750,45.03077
z21071,m47530,71.311665
z21071,m199,43.291552
z21071,m37081,70.751188
z21071,m31519,53.050187
z21071,m15184,61.585342
z21071,m36784,30.488199
z21071,m4843,24.622455
z21071,m94294,10.480047
z21787,m92242,68.802568
z21787,m97750,42.550257
z21787,m47530,69.049252
z21787,m199,66.570603
z21787,m37081,49.864417
z21787,m36190,62.301161
z21787,m31519,24.953024
z21787,m15184,38.46412
z21787,m36784,16.92988
z21787,m4843,47.901505
z21787,m94294,21.559716
z21856,m78364,17.371674
z21856,m24580,71.932415
z21856,m49594,155.240272
z22102,m91261,41.909001
z22102,m92242,6.598341
z22102,m96103,65.028359
z22102,m31600,56.263919
z22102,m36190,64.123022
z22102,m31519,41.206231
z22102,m4843,45.80997
z22102,m94294,63.077875
z22209,m91261,31.473694
z22209,m92242,8.435735
z22209,m31600,53.016011
z22209,m199,69.525844
z22209,m36190,82.258361
z22209,m31519,46.497828
